diff_cs  diff_fon
   29       2
   19       2
   27       2
   21       3
   22       0
   17       2
   23       2
   18       4
   20       3
   27       2
   28       4
   23       3
   31       0
   22       3
   24       3
   32       4
   25       2
   19       0
   24       2
   29       1
   18       3
   34       5
   18       2
   24       2
   23       0
   18       1
   18       5
   26       3
   23       3
   27       2
   28       3
   21       4
   18       3
   28       0
   20       3
   16       1
   13       2
   27       0
   14       2
   12       5
    9       1
   28       2
   20       2
   21       5
   21       5
   17       4
   25       5
   20       4
   17       3
   17       2
   14       2
   15       3
   14       1
   16       4
   19       3
   14       3
   20       0
   17       1
   19       0
   15       5
   21       5
   20       4
   26       0
   22       2
   15       0
   27       1
   16       4
   20       2
   15       6
   27       2
   23       0
   21       0
   16       2
   19       3
   18       2
   23       2
   18       4
   20       5
   17       1
   17       5
   30       3
   27       2
   15       4
   23       5
   23       4
   24       1
   15       1
   15       5
   19       7
   27       3
   14       2
   19       2
   26       3
   22       2
   22       3
   18       5
   19       2
   13       1
   15       1
   31       3
   23       0
   18       2
   14       0
   15       0
   19       4
   13       2
   26       2
   15       2
   31       1
   15       2
   25       1
   16       2
   22       4
   14       0
   35       3
   15       3
   26       3
   14       5
   16       0
   24       2
   17       1
   15       0
   28       4
   26       0
   24       3
   29       1
   17       1
   19       2
   25       3
   15       1
   20       1
   25       2
   19       4
   28       2
   18       1
   12       1
   23       2
   22       2
   18       4
   20       2
   10       2
   22       2
   20       5
   20       2
   23       2
   23       4
   15       3
   29       2
   25       1
   18       2
   25       2
   20       4
   15       1
   21       4
   12       2
   22       3
   32       2
   21       1
   15       1
   19       3
   17       1
   22       0
   21       0
   21       3
   19       6
   24       3
   21       0
   17       1
   18       5
   24       1
   33       1
   16       4
   32       2
   25       0
   18       0
   15       0
   21       2
   25       1
   23       4
   14       1
   16       2
    8       5
   30       2
   12       2
   24       3
   24       6
   20       3
   26       0
   16       1
   20       2
   20       4
   24       2
   17       0
   19       2
   34       3
   24       3
   19       3
   33       3
   24       1
   27       3
